id,agencia,banco,conta_corrente,empresa,mascara,tipo_conta,ativo,created_at,updated_at,saldo_inicial,status_conta
1,000046,001 - Banco do Brasil,APL150261,0002 - JNRR CONSTRUÇÃO LTDA,APLIC JNRR BB,Investimento,1,2025-06-25 05:08:57,2025-06-25 06:06:13,0.0,Aberta
2,000046,001 - Banco do Brasil,APL150262,0001 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,SELLETA 43 BB,Bancária,1,2025-06-25 05:08:57,2025-06-25 06:06:13,0.0,Aberta
3,000046,001 - Banco do Brasil,APL150265,0006 - RLS CONTABILIDADE E CONSULTORIA EMPRESARIAL LTDA,RLS BB150265,Bancária,1,2025-06-25 05:08:57,2025-06-25 06:06:13,0.0,Aberta
4,000046,001 - Banco do Brasil,APL47115,0001 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,APLIC SEL 43 BB,Investimento,1,2025-06-25 05:08:57,2025-06-25 06:06:13,0.0,Aberta
5,000046,001 - Banco do Brasil,APLIC2087,0004 - RESIDENCIAL JATOBA SPE LTDA,SPE BB,Bancária,1,2025-06-25 05:08:57,2025-06-25 06:06:13,0.0,Aberta
6,000046,001 - Banco do Brasil,APLIC3499,0003 - SELLETA INFRAESTRUTURA E LOGÍSTICA LTDA,APLIC150261,Investimento,1,2025-06-25 05:08:57,2025-06-25 06:06:13,0.0,Aberta
7,000046,001 - Banco do Brasil,CAIXA,0002 - JNRR CONSTRUÇÃO LTDA,JNRR BB,Bancária,1,2025-06-25 05:08:57,2025-06-25 06:06:13,0.0,Aberta
8,000046,001 - Banco do Brasil,CARTCEFELO,0003 - SELLETA INFRAESTRUTURA E LOGÍSTICA LTDA,SELLETA 21 BB,Bancária,1,2025-06-25 05:08:57,2025-06-25 06:06:13,0.0,Aberta
9,000046,001 - Banco do Brasil,CC6501ITAU,0005 - S.I ESTRUTURA METALICA E PRE MOLDADO LTDA,APL 150266,Investimento,1,2025-06-25 05:08:57,2025-06-25 06:06:13,0.0,Aberta
10,000046,001 - Banco do Brasil,CCESTRU794,0005 - S.I ESTRUTURA METALICA E PRE MOLDADO LTDA,ESTRUTURA BB,Bancária,1,2025-06-25 05:08:57,2025-06-25 06:06:13,0.0,Aberta
11,000046,001 - Banco do Brasil,EMISSAOCHQ,0004 - RESIDENCIAL JATOBA SPE LTDA,APLIC150264,Investimento,1,2025-06-25 05:08:57,2025-06-25 06:06:13,0.0,Aberta
