id,codigo,nome,nivel,tipo,plano_pai_id,ativo,criado_em,atualizado_em,referencia
194,1,ENTRADA,1,Ambos,,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
195,2,SAÍDAS,1,Ambos,,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
196,1.01,RECEITA OPERACIONAL LÍQUIDA,2,Ambos,194,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
197,1.02,OUTROS INGRESSOS OPERACIONAIS,2,Ambos,194,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
198,1.03,INGRESSOS NÃO OPERACIONAIS,2,Ambos,194,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
199,1.04,RETENÇÕES,2,Ambos,194,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
200,2.01,CUSTO,2,Ambos,195,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
201,2.02,DESPESAS FIXA,2,Ambos,195,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
202,2.03,DESPESAS VARIÁVEIS,2,Ambos,195,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
203,2.04,DEVOLUÇÕES/ REEMBOLSOS / AJUSTES SITEMA,2,Ambos,195,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
204,1.01.01,RECEITA OPERACIONAL BRUTA,3,Ambos,196,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
205,1.02.01,EMPRÉSTIMOS E FINANCIAMENTOS,3,Ambos,197,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
206,1.02.04,VENDA DE ATIVOS,3,Ambos,197,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
207,1.03.01,RECEITAS FINANCEIRAS,3,Ambos,198,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
208,1.03.03,VARIAÇÕES FINANCEIRAS,3,Ambos,198,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
209,1.04.01,IMPOSTOS RETIDOS DE FORNECEDORES,3,Ambos,199,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
210,1.04.02,OUTRAS RETENÇÕES ATIVAS,3,Ambos,199,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
