centro_custo,empresa,tipologia
Administrativo Selleta 43,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,ADM
Leonardo Zem - Galeria Comercial - SEL 43,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,OP
BMG - Vila Bela - SEL 43,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,OP
Residencial Jacaranda 4° Etapa,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,OE
Residencial Jacaranda 1° Etapa,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,OE
Residência Pistori,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,OP
Enel Alto Araguaia,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,OP
Galeria 02,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,OP
Residencial Ipes,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,OE
Galeria Marechal,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,OP
Empresa pre moldado,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,ADM
MT DIESEL - SEL 43,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Não definido
Multifamiliar Heloisa,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,OP
Canelas,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,OE
Multifamiliar Luciene,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,OP
Residencial Jacaranda 3° Etapa,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,OE
Residencial Jatoba,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,OE
Sede,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,ADM
Hospital Otorrino,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,OP
MC Mangueira Heloisa,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,OP
Obra Brava,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,OP
Batalhão Ribeirao do Lipa,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,OP
Gilberto Bessane,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,OP
Enel PCH Culuene - Paranatinga - SEL 43,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,OP
Residencial Jacaranda 2° Etapa,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,OE
Francisco,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,OP
Gaivotas,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,OP
Marmogil,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,OP
Farmacia Americana,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,OP
Heloisa Casa das Tintas - SEL 43,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Não definido
4x AP Emerson - SEL 43,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,OP
Administrativo Estrutura,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,ADM
Enel PCH Poxoreo,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,OP
2X AP Heloisa - SELLETA 43,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,OP
Residencial Michelli e Italo,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,OP
Intervenção escada Valdemir - SEL 43,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,OP
Obra Enel - Reforma Casca III,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,OP
RLS implantação,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,ADM
Administrato Tapurah - SEL 43,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Não definido
Reforma Blow,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,OP
Obra Enel - Drenagem,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,OP
Galeria 1,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,OP
Residencial Jatoba,2 - JNRR CONSTRUÇÃO LTDA,OE
Residencial Ipes,2 - JNRR CONSTRUÇÃO LTDA,OE
Administrativo JNRR,2 - JNRR CONSTRUÇÃO LTDA,ADM
Residencial Jacaranda 4° Etapa,2 - JNRR CONSTRUÇÃO LTDA,OE
Leonardo Zem - Galeria Comercial,2 - JNRR CONSTRUÇÃO LTDA,OP
Residencial Jacaranda 3° Etapa,2 - JNRR CONSTRUÇÃO LTDA,OE
Empresa pre moldado,2 - JNRR CONSTRUÇÃO LTDA,ADM
Multifamiliar Luciene,2 - JNRR CONSTRUÇÃO LTDA,OP
Enel Alto Araguaia,2 - JNRR CONSTRUÇÃO LTDA,OP
Residencial Jacaranda 1° Etapa,2 - JNRR CONSTRUÇÃO LTDA,OE
4x AP Emerson,2 - JNRR CONSTRUÇÃO LTDA,OP
Marmogil,2 - JNRR CONSTRUÇÃO LTDA,OP
