id,centro_custo,mascara_cc,empresa,tipologia,categoria
1,Administrativo Selleta 43,Administrativo,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Administrativo,nativo
2,Leonardo Zem - Galeria Comercial - SEL 43,Leonardo Zem - Galeria Comercial,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Obra Privada,nativo
3,BMG - Vila Bela - SEL 43,BMG - Vila Bela,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Obra Privada,nativo
4,Residencial Jacaranda 4° Etapa,Residencial Jacaranda 4° Etapa,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Obra Empreendimento,dependente
5,Residencial Jacaranda 1° Etapa,Residencial Jacaranda 1° Etapa,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Obra Empreendimento,dependente
6,Residência Pistori,Residência Pistori,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Obra Privada,nativo
7,Enel Alto Araguaia,Enel Alto Araguaia,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Obra Privada,dependente
8,Galeria 02,Galeria 02,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Obra Privada,dependente
9,Residencial Ipes,Residencial Ipes,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Obra Empreendimento,dependente
10,Galeria Marechal,Galeria Marechal,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Obra Privada,nativo
11,Empresa pre moldado,Administrativo Pré-Moldado,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Administrativo,dependente
12,MT DIESEL - SEL 43,MT DIESEL,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Não definido,nativo
13,Multifamiliar Heloisa,Multifamiliar Heloisa,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Obra Privada,dependente
14,Canelas,Canelas,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Obra Empreendimento,dependente
