id,centro_custo,empresa,tipologia,categoria
1,Administrativo Selleta 43,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Administrativo,nativo
2,Leonardo Zem - Galeria Comercial - SEL 43,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Obra Privada,nativo
3,BMG - Vila Bela - SEL 43,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Obra Privada,nativo
4,Residencial Jacaranda 4° Etapa,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Obra Empreendimento,dependente
5,Residencial Jacaranda 1° Etapa,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Obra Empreendimento,dependente
6,Residência Pistori,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Obra Privada,nativo
7,Enel Alto Araguaia,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Obra Privada,dependente
8,Galeria 02,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Obra Privada,dependente
9,Residencial Ipes,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Obra Empreendimento,dependente
10,Galeria Marechal,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Obra Privada,nativo
11,Empresa pre moldado,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Administrativo,dependente
12,MT DIESEL - SEL 43,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Não definido,nativo
13,Multifamiliar Heloisa,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Obra Privada,dependente
14,Canelas,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Obra Empreendimento,dependente
15,Multifamiliar Luciene,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Obra Privada,nativo
16,Residencial Jacaranda 3° Etapa,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Obra Empreendimento,dependente
17,Residencial Jatoba,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Obra Empreendimento,dependente
18,Sede,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Administrativo,genérico
19,Hospital Otorrino,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Obra Privada,nativo
20,MC Mangueira Heloisa,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Obra Privada,nativo
21,Obra Brava,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Obra Privada,nativo
22,Batalhão Ribeirao do Lipa,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Obra Privada,nativo
23,Gilberto Bessane,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Obra Privada,dependente
24,Enel PCH Culuene - Paranatinga - SEL 43,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Obra Privada,nativo
25,Residencial Jacaranda 2° Etapa,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Obra Empreendimento,dependente
26,Francisco,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Obra Privada,dependente
27,Gaivotas,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Obra Privada,nativo
28,Marmogil,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Obra Privada,nativo
29,Farmacia Americana,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Obra Privada,nativo
30,Heloisa Casa das Tintas - SEL 43,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Não definido,nativo
31,4x AP Emerson - SEL 43,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Obra Privada,nativo
32,Administrativo Estrutura,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Administrativo,nativo
33,Enel PCH Poxoreo,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Obra Privada,nativo
34,2X AP Heloisa - SELLETA 43,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Obra Privada,nativo
35,Residencial Michelli e Italo,1 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,Obra Privada,nativo
