Agência,Banco,C/C,Empresa,Máscara,Tipo da Conta
000046,001 - Banco do Brasil,APL150261,0002 - JNRR CONSTRUÇÃO LTDA,APLIC JNRR BB,Investimento
000046,001 - Banco do Brasil,APL150262,0001 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,SELLETA 43 BB,Bancária
000046,001 - Banco do Brasil,APL150265,0006 - RLS CONTABILIDADE E CONSULTORIA EMPRESARIAL LTDA,RLS BB150265,Bancária
000046,001 - Banco do Brasil,APL47115,0001 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,APLIC SEL 43 BB,Investimento
000046,001 - Banco do Brasil,APLIC2087,0004 - RESIDENCIAL JATOBA SPE LTDA,SPE BB,Bancária
000046,001 - Banco do Brasil,APLIC3499,0003 - SELLETA INFRAESTRUTURA E LOGÍSTICA LTDA,APLIC150261,Investimento
000046,001 - Banco do Brasil,CAIXA,0002 - JNRR CONSTRUÇÃO LTDA,JNRR BB,Bancária
000046,001 - Banco do Brasil,CARTCEFELO,0003 - SELLETA INFRAESTRUTURA E LOGÍSTICA LTDA,SELLETA 21 BB,Bancária
000046,001 - Banco do Brasil,CC6501ITAU,0005 - S.I ESTRUTURA METALICA E PRE MOLDADO LTDA,APL 150266,Investimento
000046,001 - Banco do Brasil,CCESTRU794,0005 - S.I ESTRUTURA METALICA E PRE MOLDADO LTDA,ESTRUTURA BB,Bancária
000046,001 - Banco do Brasil,EMISSAOCHQ,0004 - RESIDENCIAL JATOBA SPE LTDA,APLIC150264,Investimento
000046,001 - Banco do Brasil,MUTU006,0006 - RLS CONTABILIDADE E CONSULTORIA EMPRESARIAL LTDA,APLIC RLS,Investimento
000805,748 - Sicredi - Sistema de Crédito Cooperativo,150262-X,0001 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,SELLETA 43 SICR,Bancária
000805,748 - Sicredi - Sistema de Crédito Cooperativo,APLIC2056,0001 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,APLIC 47115,Investimento
000805,748 - Sicredi - Sistema de Crédito Cooperativo,CC43BB9211,0002 - JNRR CONSTRUÇÃO LTDA,APLIC 46911,Investimento
000805,748 - Sicredi - Sistema de Crédito Cooperativo,CCCEFJOAO,0002 - JNRR CONSTRUÇÃO LTDA,JNRR SICREDI,Bancária
001496,104 - Caixa Econômica Federal,CCSICREDI,0003 - SELLETA INFRAESTRUTURA E LOGÍSTICA LTDA,SELLETA 21 CEF,Bancária
001966,237 - Banco Bradesco,CAIXA,0003 - SELLETA INFRAESTRUTURA E LOGÍSTICA LTDA,17853,Bancária
003325,756 - Banco Cooperativo do Brasil - Bancoob,41542-1,0007 - SW CONSTRUÇÃO,SW SICOOB,Bancária
003439,001 - Banco do Brasil,150261-1,0001 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,APLIC 3499,Investimento
003439,104 - Caixa Econômica Federal,,0001 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,SELLETA 43 CEF,Bancária
003439,104 - Caixa Econômica Federal,2087-7,0002 - JNRR CONSTRUÇÃO LTDA,JNRR CX 2056,Bancária
003439,104 - Caixa Econômica Federal,APL150263,0002 - JNRR CONSTRUÇÃO LTDA,APLICJNRR CEF,Investimento
003439,104 - Caixa Econômica Federal,APL150264,0001 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,APLICCEF2087,Investimento
004256,756 - Banco Cooperativo do Brasil - Bancoob,2056-7,0001 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,SELLETA 43 SICO,Bancária
004256,756 - Banco Cooperativo do Brasil - Bancoob,41541-3,0002 - JNRR CONSTRUÇÃO LTDA,JNRR SICOOB,Bancária
004256,756 - Banco Cooperativo do Brasil - Bancoob,46911-5,0002 - JNRR CONSTRUÇÃO LTDA,APLIC41542,Investimento
004256,756 - Banco Cooperativo do Brasil - Bancoob,MUTU003,0001 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,APLIC 43 SICOOB,Investimento
TRAVADO,TRAVADO,0000150266,0005 - S.I ESTRUTURA METALICA E PRE MOLDADO LTDA,CC BB ESTRU7943,CAIXA
TRAVADO,TRAVADO,150263-8,9999 - EMPRESATESTE,CAIXA,CAIXA
TRAVADO,TRAVADO,150264-6,0004 - RESIDENCIAL JATOBA SPE LTDA,MUTUO04,Mútuo
TRAVADO,TRAVADO,150265-4,0002 - JNRR CONSTRUÇÃO LTDA,CC 6501 JOAO,CAIXA
TRAVADO,TRAVADO,150266-2,0006 - RLS CONTABILIDADE E CONSULTORIA EMPRESARIAL LTDA,REA,Estoque
TRAVADO,TRAVADO,153370-3,0007 - SW CONSTRUÇÃO,CC SICOB 9656,CAIXA
TRAVADO,TRAVADO,17853-5,0006 - RLS CONTABILIDADE E CONSULTORIA EMPRESARIAL LTDA,MUTU006,Mútuo
TRAVADO,TRAVADO,3499-7,0001 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,C.C CEF 0558,CAIXA
TRAVADO,TRAVADO,47115-2,0003 - SELLETA INFRAESTRUTURA E LOGÍSTICA LTDA,CAIXA,CAIXA
TRAVADO,TRAVADO,APL41542,9999 - EMPRESATESTE,REA,Estoque
TRAVADO,TRAVADO,APL46911,0003 - SELLETA INFRAESTRUTURA E LOGÍSTICA LTDA,CC7230,CAIXA
TRAVADO,TRAVADO,APLIC41541,0001 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,C.C SICREDI 011,CAIXA
TRAVADO,TRAVADO,CAIXA,0002 - JNRR CONSTRUÇÃO LTDA,CAIXA,CAIXA
TRAVADO,TRAVADO,CAIXA,0002 - JNRR CONSTRUÇÃO LTDA,CC CEF JNRR7661,CAIXA
TRAVADO,TRAVADO,CAIXA,0003 - SELLETA INFRAESTRUTURA E LOGÍSTICA LTDA,3,CAIXA
TRAVADO,TRAVADO,CAIXA,0003 - SELLETA INFRAESTRUTURA E LOGÍSTICA LTDA,REA,Estoque
TRAVADO,TRAVADO,CAIXA,0005 - S.I ESTRUTURA METALICA E PRE MOLDADO LTDA,REA,Estoque
TRAVADO,TRAVADO,CARTCEFVIS,0003 - SELLETA INFRAESTRUTURA E LOGÍSTICA LTDA,CC CEF 21 ELO,CAIXA
TRAVADO,TRAVADO,CC21BB9308,0003 - SELLETA INFRAESTRUTURA E LOGÍSTICA LTDA,MUTU003,Mútuo
TRAVADO,TRAVADO,CC43BB4031,0001 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,C.C BB 9211,CAIXA
TRAVADO,TRAVADO,CC43BB4045,0002 - JNRR CONSTRUÇÃO LTDA,C.C BB JNRR4465,CAIXA
TRAVADO,TRAVADO,CC4940BB21,0001 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,C.C BB4031,CAIXA
TRAVADO,TRAVADO,CC9656SICO,0007 - SW CONSTRUÇÃO,MUTUO07,Mútuo
TRAVADO,TRAVADO,CCCEF0558,0002 - JNRR CONSTRUÇÃO LTDA,C.C CEF JOAO,CAIXA
TRAVADO,TRAVADO,CCJNRR4465,0003 - SELLETA INFRAESTRUTURA E LOGÍSTICA LTDA,C.C BB 4940,CAIXA
TRAVADO,TRAVADO,CCJNRR7661,0005 - S.I ESTRUTURA METALICA E PRE MOLDADO LTDA,MUTU005,Mútuo
TRAVADO,TRAVADO,EMISSAOCHQ,0001 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,C.C BB 4045,CAIXA
TRAVADO,TRAVADO,EMISSAOCHQ,0001 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,CAIXA,CAIXA
TRAVADO,TRAVADO,EMISSAOCHQ,0001 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,REA,Estoque
TRAVADO,TRAVADO,EMISSAOCHQ,0002 - JNRR CONSTRUÇÃO LTDA,MUTUO02,Mútuo
TRAVADO,TRAVADO,EMISSAOCHQ,0004 - RESIDENCIAL JATOBA SPE LTDA,CAIXA,CAIXA
TRAVADO,TRAVADO,EMISSAOCHQ,0006 - RLS CONTABILIDADE E CONSULTORIA EMPRESARIAL LTDA,CAIXA,CAIXA
TRAVADO,TRAVADO,EMISSAOCHQ,0007 - SW CONSTRUÇÃO,CAIXA,CAIXA
TRAVADO,TRAVADO,IMP01,0002 - JNRR CONSTRUÇÃO LTDA,REA,Estoque
TRAVADO,TRAVADO,MUTU005,0005 - S.I ESTRUTURA METALICA E PRE MOLDADO LTDA,CAIXA,CAIXA
TRAVADO,TRAVADO,MUTUO01,9999 - EMPRESATESTE,EMISSAOCHQ,Cheque
TRAVADO,TRAVADO,MUTUO02,0001 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,IMP01,CAIXA
TRAVADO,TRAVADO,MUTUO04,0004 - RESIDENCIAL JATOBA SPE LTDA,REA,Estoque
TRAVADO,TRAVADO,MUTUO07,0007 - SW CONSTRUÇÃO,REA,Estoque
TRAVADO,TRAVADO,REAPROPFIN,0001 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,EMISSAOCHQ,Cheque
TRAVADO,TRAVADO,REAPROPFIN,0001 - SELLETA ARQUITETURA E CONSTRUCAO LTDA,MUTUO01,Mútuo
TRAVADO,TRAVADO,REAPROPFIN,0002 - JNRR CONSTRUÇÃO LTDA,EMISSAOCHQ,Cheque
TRAVADO,TRAVADO,REAPROPFIN,0003 - SELLETA INFRAESTRUTURA E LOGÍSTICA LTDA,EMISSAOCHQ,Cheque
TRAVADO,TRAVADO,REAPROPFIN,0004 - RESIDENCIAL JATOBA SPE LTDA,EMISSAOCHQ,Cheque
TRAVADO,TRAVADO,REAPROPFIN,0005 - S.I ESTRUTURA METALICA E PRE MOLDADO LTDA,EMISSAOCHQ,Cheque
TRAVADO,TRAVADO,REAPROPFIN,0006 - RLS CONTABILIDADE E CONSULTORIA EMPRESARIAL LTDA,EMISSAOCHQ,Cheque
TRAVADO,TRAVADO,REAPROPFIN,0007 - SW CONSTRUÇÃO,EMISSAOCHQ,Cheque
