;;;;;;;;
;;Empresas;;;;;;
;;;;;;;;
;;;;;;;;
Empresa;0001 - SELLETA ARQUITETURA E CONSTRUCAO LTDA;;;Grupo;Grupo Selleta;;Situação;Ativa
Endereço;HOLLYWOOD , 552A;;;Município;Cuiabá;;CEP;78070-345
Fone;(65) 3365-2372;;;Fax;;;;
Número CMC;;;;Insc. CREA;;;;
Ins. estadual;;;;Ins. municipal;;;;
CNPJ;43.076.530/0001-26;;;;;;;
;;;;;;;;
;;;;;;;;
Empresa;0002 - JNRR CONSTRUÇÃO LTDA;;;Grupo;Grupo Selleta;;Situação;Ativa
Endereço;ANTONIO BARBOSA DE SOUZA, 2724;;;Município;Pontes e Lacerda;;CEP;78250-000
Fone;(65) 9949-3060;;;Fax;;;;
Número CMC;;;;Insc. CREA;;;;
Ins. estadual;;;;Ins. municipal;;;;
CNPJ;45.317.261/0001-78;;;;;;;
;;;;;;;;
;;;;;;;;
Empresa;0003 - SELLETA INFRAESTRUTURA E LOGÍSTICA LTDA;;;Grupo;Grupo Selleta;;Situação;Ativa
Endereço;HOLLYWOOD , 552B;;;Município;Cuiabá;;CEP;78070-345
Fone;(65) 3642-3030;;;Fax;;;;
Número CMC;;;;Insc. CREA;;;;
Ins. estadual;;;;Ins. municipal;;;;
CNPJ;21.264.069/0001-00;;;;;;;
;;;;;;;;
;;;;;;;;
Empresa;0004 - RESIDENCIAL JATOBA SPE LTDA;;;Grupo;Grupo Selleta;;Situação;Ativa
Endereço;HOLLYWOOD, 552B;;;Município;Cuiabá;;CEP;78070-345
Fone;(65)99922-1764;;;Fax;;;;
Número CMC;;;;Insc. CREA;;;;
Ins. estadual;;;;Ins. municipal;;;;
CNPJ;50.429.548/0001-20;;;;;;;
;;;;;;;;
;;;;;;;;
Empresa;0005 - S.I ESTRUTURA METALICA E PRE MOLDADO LTDA;;;Grupo;Grupo Selleta;;Situação;Ativa
Endereço;MARG ANTONIO BARBOSA DE SOUZA, 2650;;;Município;Pontes e Lacerda;;CEP;78250-000
Fone;(65)99259-0346;;;Fax;;;;
Número CMC;;;;Insc. CREA;;;;
Ins. estadual;;;;Ins. municipal;;;;
CNPJ;52.454.189/0001-96;;;;;;;
;;;;;;;;
;;;;;;;;
Empresa;0006 - RLS CONTABILIDADE E CONSULTORIA EMPRESARIAL LTDA;;;Grupo;Grupo Selleta;;Situação;Ativa
Endereço; PADRE CORREA DE TOLEDO (LOT JD INDEPEND, 345;;;Município;Cuiabá;;CEP;78031-070
Fone;(65)99922-1764;;;Fax;;;;
Número CMC;;;;Insc. CREA;;;;
Ins. estadual;;;;Ins. municipal;;;;
CNPJ;51.940.626/0001-19;;;;;;;
;;;;;;;;
;;;;;;;;
Empresa;0007 - SW CONSTRUÇÃO;;;Grupo;Grupo Selleta;;Situação;Ativa
Endereço;RIO DE JANEIRO, 475;;;Município;Tapurah;;CEP;78573-000
Fone;;;;Fax;;;;
Número CMC;;;;Insc. CREA;;;;
Ins. estadual;;;;Ins. municipal;;;;
CNPJ;46.072.847/0001-82;;;;;;;
;;;;;;;;
;;;;;;;;
Empresa;9999 - EMPRESATESTE;;;Grupo;Grupo Selleta;;Situação;Ativa
Endereço;, ;;;Município;Cuiabá;;CEP;
Fone;;;;Fax;;;;
Número CMC;;;;Insc. CREA;;;;
Ins. estadual;;;;Ins. municipal;;;;
CNPJ;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
20/06/2025 - 15:58:09;;;SIENGE / SOFTPLAN;;;;;
